ARIEL,ARIEL ATOM 3.5,1,Engine,Cold Air Intake,30 Minutes,0.6,13500,3
ARIEL,ARIEL ATOM 3.5,2,Engine,Competition Engine Tuning,1 Hour,0.5,20300,5
ARIEL,ARIEL ATOM 3.5,3,Engine,Competition Throttle Body,2 Hours 30 Minutes,0.6,30500,8
ARIEL,ARIEL ATOM 3.5,4,Engine,Increase Engine Bore,—,0.5,,12
ARIEL,ARIEL ATOM 3.5,5,Engine,Performance Intake Manifold,4 Hours,0.5,68600,18
ARIEL,ARIEL ATOM 3.5,6,Engine,Competition Cam-shaft,—,0.6,,28
ARIEL,ARIEL ATOM 3.5,7,Engine,Competition Cylinder Heads,18 Hours,0.5,154300,42
ARIEL,ARIEL ATOM 3.5,8,Engine,High Performance Supercharger Pulley Kit,—,0.6,,60
ARIEL,ARIEL ATOM 3.5,1,Drivetrain,Lightweight Performance Flywheel,30 Minutes,0.8,12600,3
ARIEL,ARIEL ATOM 3.5,2,Drivetrain,Carbon Fibre Driveshaft,1 Hour,0.7,18900,5
ARIEL,ARIEL ATOM 3.5,3,Drivetrain,Race-Spec Lightweight Differential,—,0.7,,7
ARIEL,ARIEL ATOM 3.5,4,Drivetrain,Lightweight Magnesium Gearbox Casing,4 Hours,0.8,42500,10
ARIEL,ARIEL ATOM 3.5,1,Body,General Body Refinement,30 Minutes,0.6,10000,2
ARIEL,ARIEL ATOM 3.5,2,Body,Aero Optimised Undertray With Diffuser,1 Hour,0.5,15000,4
ARIEL,ARIEL ATOM 3.5,3,Body,Advanced Body Refinement,—,0.5,,6
ARIEL,ARIEL ATOM 3.5,4,Body,Advanced Weight Reduction,4 Hours,0.5,33800,9
ARIEL,ARIEL ATOM 3.5,1,Suspension,Competition Sway Bars,30 Minutes,0.7,11600,3
ARIEL,ARIEL ATOM 3.5,2,Suspension,Advanced Suspension Tuning,1 Hour,0.6,17300,4
ARIEL,ARIEL ATOM 3.5,3,Suspension,Uprated Sports Shocks,—,0.7,,7
ARIEL,ARIEL ATOM 3.5,4,Suspension,Fully Adjustable Sports Shocks,4 Hours,0.7,39000,10
ARIEL,ARIEL ATOM 3.5,1,Exhaust,Uprated Hi-Flow Catalytic Converter,30 Minutes,0.8,11400,3
ARIEL,ARIEL ATOM 3.5,2,Exhaust,Custom Titanium Exhaust Headers,1 Hour,0.7,17100,4
ARIEL,ARIEL ATOM 3.5,3,Exhaust,Custom Titanium Competition Exhaust,—,0.8,,7
ARIEL,ARIEL ATOM 3.5,1,Brakes,Uprated Performance Brake Pads,30 Minutes,0.6,8800,2
ARIEL,ARIEL ATOM 3.5,2,Brakes,Uprated Performance Calipers,1 Hour,0.6,13300,3
ARIEL,ARIEL ATOM 3.5,3,Brakes,Carbon Ceramic Brake Discs,—,0.6,,5
ARIEL,ARIEL ATOM 3.5,1,Tires & Wheels,Camber & Toe Adjustments,30 Minutes,0.8,10600,2
ARIEL,ARIEL ATOM 3.5,2,Tires & Wheels,High-Grip Performance Compound,1 Hour,0.7,15900,4
ARIEL,ARIEL ATOM 3.5,3,Tires & Wheels,Ultra Light Competition Rims,—,0.7,,6
ARIEL,ARIEL ATOM V8,1,Engine,High Flow Carbon Fibre Airbox,1 Hour,0.6,25800,7
ARIEL,ARIEL ATOM V8,2,Engine,Competition Engine Tuning,2 Hours 30 Minutes,0.6,38700,10
ARIEL,ARIEL ATOM V8,3,Engine,Competition Throttle Body,—,0.7,,16
ARIEL,ARIEL ATOM V8,4,Engine,Increase Engine Bore,8 Hours,0.6,87000,24
ARIEL,ARIEL ATOM V8,5,Engine,Competition Intake Manifold,—,0.6,,36
ARIEL,ARIEL ATOM V8,6,Engine,Competition Cam-shaft,18 Hours,0.6,195700,50
ARIEL,ARIEL ATOM V8,7,Engine,Competition Cylinder Heads,—,0.7,,80
ARIEL,ARIEL ATOM V8,1,Drivetrain,Re-calibrated Gearbox,1 Hour,0.7,24000,6
ARIEL,ARIEL ATOM V8,2,Drivetrain,Ultra-Lightweight Flywheel,2 Hours 30 Minutes,0.7,36000,10
ARIEL,ARIEL ATOM V8,3,Drivetrain,Carbon Fibre Driveshaft,—,0.6,,14
ARIEL,ARIEL ATOM V8,4,Drivetrain,Race-Spec Lightweight Differential,8 Hours,0.7,80900,22
ARIEL,ARIEL ATOM V8,5,Drivetrain,Lightweight Sequential Gearbox,—,0.7,,32
ARIEL,ARIEL ATOM V8,1,Body,General Body Refinement,1 Hour,0.6,19000,5
ARIEL,ARIEL ATOM V8,2,Body,Aero Optimised Undertray With Diffuser,—,0.6,,7
ARIEL,ARIEL ATOM V8,3,Body,Advanced Body Refinement,4 Hours,0.6,42900,10
ARIEL,ARIEL ATOM V8,4,Body,Advanced Weight Reduction,—,0.6,,16
ARIEL,ARIEL ATOM V8,1,Suspension,Competition Sway Bars,1 Hour,0.8,22000,6
ARIEL,ARIEL ATOM V8,2,Suspension,Advanced Suspension Tuning,—,0.8,,9
ARIEL,ARIEL ATOM V8,3,Suspension,Uprated Sports Shocks,4 Hours,0.9,49500,12
ARIEL,ARIEL ATOM V8,1,Exhaust,Uprated Hi-Flow Catalytic Converter,1 Hour,0.9,21700,6
ARIEL,ARIEL ATOM V8,2,Exhaust,Custom Titanium Exhaust Headers,—,0.8,,9
ARIEL,ARIEL ATOM V8,3,Exhaust,Custom Titanium Competition Exhaust,4 Hours,0.8,48900,12
ARIEL,ARIEL ATOM V8,1,Brakes,Uprated Performance Brake Pads,1 Hour,0.6,16800,4
ARIEL,ARIEL ATOM V8,2,Brakes,Uprated Performance Calipers,—,0.7,,7
ARIEL,ARIEL ATOM V8,3,Brakes,Carbon Ceramic Brake Discs,4 Hours,0.6,37800,10
ARIEL,ARIEL ATOM V8,1,Tires & Wheels,Camber & Toe Adjustments,1 Hour,0.8,20200,5
ARIEL,ARIEL ATOM V8,2,Tires & Wheels,High-Grip Performance Compound,—,0.7,,8
ARIEL,ARIEL ATOM V8,3,Tires & Wheels,Ultra Light Competition Rims,4 Hours,0.8,45400,12
ASTON MARTIN,ASTON MARTIN DB9,1,Engine,High Flow Carbon Fibre Airbox,30 Minutes,0.4,12200,3
ASTON MARTIN,ASTON MARTIN DB9,2,Engine,Competition Engine Tuning,1 Hour,0.5,18300,5
ASTON MARTIN,ASTON MARTIN DB9,3,Engine,Competition Throttle Body,2 Hours 30 Minutes,0.5,27500,7
ASTON MARTIN,ASTON MARTIN DB9,4,Engine,Increase Engine Bore,4 Hours,0.5,41200,10
ASTON MARTIN,ASTON MARTIN DB9,5,Engine,Performance Intake Manifold,—,0.5,,16
ASTON MARTIN,ASTON MARTIN DB9,6,Engine,Competition Cam-shaft,12 Hours,0.5,92800,25
ASTON MARTIN,ASTON MARTIN DB9,7,Engine,Performance Cylinder Heads,—,0.4,,38
ASTON MARTIN,ASTON MARTIN DB9,1,Drivetrain,Ultra-Lightweight Flywheel,30 Minutes,0.7,11400,3
ASTON MARTIN,ASTON MARTIN DB9,2,Drivetrain,Race-Spec Lightweight Differential,1 Hour,0.7,17100,4
ASTON MARTIN,ASTON MARTIN DB9,3,Drivetrain,Lightweight Sequential Gearbox,—,0.7,,7
ASTON MARTIN,ASTON MARTIN DB9,1,Body,Polycarbonate Window Replacements,30 Minutes,0.4,9000,2
ASTON MARTIN,ASTON MARTIN DB9,2,Body,Weight Reduction,1 Hour,0.4,13500,3
ASTON MARTIN,ASTON MARTIN DB9,3,Body,General Body Refinement,2 Hours 30 Minutes,0.4,20300,5
ASTON MARTIN,ASTON MARTIN DB9,4,Body,Aero Optimised Undertray,—,0.4,,8
ASTON MARTIN,ASTON MARTIN DB9,5,Body,Carbon Fibre Panels,8 Hours,0.4,45700,12
ASTON MARTIN,ASTON MARTIN DB9,6,Body,Advanced Weight Reduction,—,0.4,,18
ASTON MARTIN,ASTON MARTIN DB9,1,Suspension,Carbon Fibre Strut Brace,30 Minutes,0.4,10400,2
ASTON MARTIN,ASTON MARTIN DB9,2,Suspension,Performance Sway Bars,1 Hour,0.5,15600,4
ASTON MARTIN,ASTON MARTIN DB9,3,Suspension,Advanced Suspension Tuning,2 Hours 30 Minutes,0.5,23500,6
ASTON MARTIN,ASTON MARTIN DB9,4,Suspension,Uprated Sports Shocks,4 Hours,0.5,35200,9
ASTON MARTIN,ASTON MARTIN DB9,5,Suspension,Fully Adjustable Racing Shocks,—,0.5,,14
ASTON MARTIN,ASTON MARTIN DB9,1,Exhaust,Uprated Hi-Flow Catalytic Converter,30 Minutes,0.6,10300,2
ASTON MARTIN,ASTON MARTIN DB9,2,Exhaust,Custom Titanium Exhaust Headers,1 Hour,0.6,15500,4
ASTON MARTIN,ASTON MARTIN DB9,3,Exhaust,Custom Titanium Competition Exhaust,—,0.7,,6
ASTON MARTIN,ASTON MARTIN DB9,1,Brakes,Uprated Competition Brake Pads,30 Minutes,0.5,8000,2
ASTON MARTIN,ASTON MARTIN DB9,2,Brakes,Uprated Competition Calipers,1 Hour,0.5,12000,3
ASTON MARTIN,ASTON MARTIN DB9,3,Brakes,Carbon Ceramic Brake Discs,—,0.5,,4
ASTON MARTIN,ASTON MARTIN DB9,1,Tires & Wheels,Camber Alignment,30 Minutes,0.6,9600,2
ASTON MARTIN,ASTON MARTIN DB9,2,Tires & Wheels,High-Grip Performance Compound,1 Hour,0.6,14300,3
ASTON MARTIN,ASTON MARTIN DB9,3,Tires & Wheels,Lightweight Alloy Rims,—,0.6,,5
